Path	Class	Reason
ai-manager/clinical-platform/anatomy-3d/attribution-template.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
ai-manager/clinical-platform/anatomy-3d/source-candidates.json	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/clinical-platform/anatomy-3d/upstream-comparison.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
ai-manager/clinical-platform/release/v1-release-candidate.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
ai-manager/clinical-platform/reviews/review-ledger.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
ai-manager/clinical-platform/shoulder/evidence-map.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
ai-manager/clinical-platform/shoulder/module-library.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
ai-manager/clinical-platform/shoulder/source-inventory.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
ai-manager/clinical-platform/workspace/snapshot.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
ai-manager/private-review-portal/anatomy-candidate-pipeline.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/content-studio.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/domain.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/README.md	D	Documentation aligned to the implemented governance and learner boundaries.
ai-manager/private-review-portal/server.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/static/app.js	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/static/index.html	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/static/styles.css	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/v1-claim-canonicalization.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/v1-clinical-evidence-audit.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/v1-critical-review-adoption.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/v1-final-condition-confirmation.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/v1-independent-final-recommendations.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/v1-major-review-adoption.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/v1-publication-minimum.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
ai-manager/private-review-portal/v1-publication-review.mjs	A	Intended clinical, private-review, governance-source, or learner implementation.
content/cervical/cervical-artery-dysfunction.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/cervical/cervical-myelopathy.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/cervical/cervical-radiculopathy.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/cervical/cervicogenic-headache.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/cervical/mechanical-neck-pain.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/cervical/whiplash-associated-disorders.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/elbow/cubital-tunnel-syndrome.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/elbow/elbow-osteoarthritis.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/elbow/lateral-epicondylalgia.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/elbow/medial-epicondylalgia.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/elbow/olecranon-bursitis.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/elbow/radial-tunnel-syndrome.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/evidence-hub/conditions/condition.shoulder.adhesive-capsulitis.json	A	Intended clinical, private-review, governance-source, or learner implementation.
content/evidence-hub/conditions/condition.shoulder.rcrsp.json	A	Intended clinical, private-review, governance-source, or learner implementation.
content/shoulder/acromioclavicular-joint.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/shoulder/adhesive-capsulitis.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/shoulder/calcific-tendinitis.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/shoulder/labral-tears.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/shoulder/rotator-cuff-tear.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/shoulder/rotator-cuff-tendinopathy.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/shoulder/shoulder-instability.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/shoulder/subacromial-pain-syndrome.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/wrist-hand/carpal-tunnel-syndrome.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/wrist-hand/de-quervains-tenosynovitis.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/wrist-hand/dupuytrens-contracture.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/wrist-hand/scaphoid-fracture.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/wrist-hand/tfcc-injury.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/wrist-hand/thumb-cmc-osteoarthritis.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
content/wrist-hand/trigger-finger.mdx	A	Intended clinical, private-review, governance-source, or learner implementation.
docs/3D_ASSET_PROVENANCE.md	D	Documentation aligned to the implemented governance and learner boundaries.
docs/GOVERNED_ANATOMY_3D.md	D	Documentation aligned to the implemented governance and learner boundaries.
docs/MOVEMENT_MODULES.md	D	Documentation aligned to the implemented governance and learner boundaries.
docs/product/UPPER_QUADRANT_COMPLETION_MATRIX.md	D	Documentation aligned to the implemented governance and learner boundaries.
package.json	C	Generator, validator, regression test, or npm gate wiring.
public/search-index.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/clinical-platform/review-packet-index.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/clinical-platform/review-queues.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/governance/project-inventory.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/programmes/upper-quadrant-production.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/cervical-shoulder-elbow-inventory.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/external-link-live-audit.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
